geo,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Nicaragua,80.6,77.7,54.9,61,57.1,70.8,72.3,77.2,92.2,96.5,105,112,131,138,139,
Niger,6.89,6.2,8.16,9.01,8.76,7.46,9.74,10.3,9.55,10.2,18,20.4,17.6,19.2,18.5,18.8
Nigeria,13.1,11.1,13.2,17.9,20.2,20.1,20.2,13.5,25.1,37.5,33.7,36.3,47.5,50.2,47.7,46
Norway,1730,1830,1910,2080,2300,2510,2730,3030,3210,3410,3590,3860,4110,4410,4500,4550
Oman,395,399,400,451,437,537,580,626,626,607,563,529,600,479,651,479
Pakistan,12.1,13.7,12.6,11.1,11.1,10.5,9.68,14.4,12,13.7,15,18.8,19.7,21.4,19.8,22.6
Palau,991,1140,1120,913,927,946,950,932,959,1120,1080,1160,1210,1090,1120,1090
Panama,305,276,309,320,318,381,377,411,391,479,477,477,495,640,788,844
Papua New Guinea,55.2,61.3,51.1,56,60.1,56.3,64.6,61.8,56.8,67.3,57,50.9,48.5,54.5,60,62.8
Paraguay,83,98.3,97.1,114,121,126,109,98.3,84.4,86.4,95.9,111,110,116,115,110
Peru,105,109,108,119,130,135,135,145,145,150,169,179,232,310,269,260
Philippines,28,31.4,35.4,30.7,32.7,36.5,32.6,28.4,34.9,36.9,41.8,39.8,41.5,39.8,46.6,50.3
Poland,299,350,358,366,408,409,461,521,523,554,594,653,764,914,1010,1070
Portugal,635,713,762,812,898,1090,1130,1210,1290,1340,1480,1520,1590,1630,1820,1920
Qatar,977,1070,1230,1380,496,1040,1310,1470,2540,2510,2090,1830,1570,1240,1540,1260
Romania,137,142,185,151,182,201,227,266,347,360,418,453,551,668,646,634
Russia,222,218,286,235,212,221,245,283,304,316,381,500,575,625,661,620
Rwanda,7.81,9.85,10.4,14.4,11.2,9.69,13.3,15.2,23.4,25.3,31,46.2,43.4,47.7,53.8,60.6
Samoa,71.7,90.5,93.8,102,120,125,128,138,136,144,154,182,213,213,200,248
San Marino,1670,1700,1730,1840,2040,2120,2200,2850,2240,2450,2490,2520,2630,2550,2420,2440
